delta_t,threshold,cluster_id,best_t_days,mean_bmi,group_name
16,0.04400000000000001,6,72,20.703125,群组1
16,0.04500000000000001,0,154,44.343701177,群组7
16,0.04500000000000001,1,121,30.83436199041856,群组3
16,0.04500000000000001,2,135,35.10079343899152,群组5
16,0.04500000000000001,3,113,29.0050345231067,群组2
16,0.04500000000000001,4,112,32.88320441884776,群组4
16,0.04500000000000001,5,164,38.321496709430576,群组6
16,0.04500000000000001,6,74,20.703125,群组1
18,0.035,0,112,44.343701177,群组7
18,0.035,1,101,30.83436199041856,群组3
18,0.035,2,110,35.10079343899152,群组5
18,0.035,3,94,29.0050345231067,群组2
18,0.035,4,94,32.88320441884776,群组4
18,0.035,5,155,38.321496709430576,群组6
18,0.035,6,70,20.703125,群组1
18,0.036000000000000004,0,115,44.343701177,群组7
18,0.036000000000000004,1,103,30.83436199041856,群组3
18,0.036000000000000004,2,113,35.10079343899152,群组5
18,0.036000000000000004,3,96,29.0050345231067,群组2
18,0.036000000000000004,4,96,32.88320441884776,群组4
18,0.036000000000000004,5,156,38.321496709430576,群组6
18,0.036000000000000004,6,70,20.703125,群组1
18,0.037000000000000005,0,118,44.343701177,群组7
18,0.037000000000000005,1,106,30.83436199041856,群组3
18,0.037000000000000005,2,115,35.10079343899152,群组5
18,0.037000000000000005,3,99,29.0050345231067,群组2
18,0.037000000000000005,4,99,32.88320441884776,群组4
18,0.037000000000000005,5,157,38.321496709430576,群组6
18,0.037000000000000005,6,70,20.703125,群组1
18,0.038000000000000006,0,122,44.343701177,群组7
18,0.038000000000000006,1,108,30.83436199041856,群组3
18,0.038000000000000006,2,118,35.10079343899152,群组5
18,0.038000000000000006,3,101,29.0050345231067,群组2
18,0.038000000000000006,4,101,32.88320441884776,群组4
18,0.038000000000000006,5,158,38.321496709430576,群组6
18,0.038000000000000006,6,70,20.703125,群组1
18,0.03900000000000001,0,127,44.343701177,群组7
18,0.03900000000000001,1,111,30.83436199041856,群组3
18,0.03900000000000001,2,121,35.10079343899152,群组5
18,0.03900000000000001,3,104,29.0050345231067,群组2
18,0.03900000000000001,4,104,32.88320441884776,群组4
18,0.03900000000000001,5,160,38.321496709430576,群组6
18,0.03900000000000001,6,70,20.703125,群组1
18,0.04000000000000001,0,150,44.343701177,群组7
18,0.04000000000000001,1,114,30.83436199041856,群组3
18,0.04000000000000001,2,124,35.10079343899152,群组5
18,0.04000000000000001,3,106,29.0050345231067,群组2
18,0.04000000000000001,4,107,32.88320441884776,群组4
18,0.04000000000000001,5,161,38.321496709430576,群组6
18,0.04000000000000001,6,70,20.703125,群组1
18,0.04100000000000001,0,152,44.343701177,群组7
18,0.04100000000000001,1,117,30.83436199041856,群组3
18,0.04100000000000001,2,127,35.10079343899152,群组5
18,0.04100000000000001,3,109,29.0050345231067,群组2
18,0.04100000000000001,4,110,32.88320441884776,群组4
18,0.04100000000000001,5,162,38.321496709430576,群组6
